name,latitude,longitude,locatable_type,image,description,address
Military Science Building,38.956679,-95.250074,Building,,"Construction began in spring 1941 on this Works Progress Administration project and was completed by legislative appropriations after the WPA was disbanded. The building — faced with limestone from old Snow Hall, demolished in 1934 — was completed Nov. 1, 1943. It houses the Reserved Officer Training Corps programs of the the U.S. Air Force, U.S. Army, and the U.S. Navy; a rifle range and artillery storage; a drill room; classrooms; and offices.","1520 Summerfield Hall Drive, Lawrence, KS 66045"
Miller Scholarship Hall,38.956462,-95.242671,Building,,"In 1936 Elizabeth Miller Watkins donated $75,000 to build a twin immediately south of Watkins Scholarship Hall, which she had financed in 1925. The building was named for her brother, Frank C. Miller, a KU student in the 1880s. As she had before, Watkins oversaw the decorating and furnishing of the yellow-brick, colonial-style hall, designed by Thomas Williamson, which opened in 1937 and houses 49 women. Like Watkins Hall, Miller is partly maintained through a trust Watkins established.","1518 Lilac Lane, Lawrence, KS 66044"
Moore Hall,38.949166,-95.261208,Building,,"This building, housing the Kansas Geological Survey, was designed by Thomas, Johnson, Isley and dedicated Feb. 2, 1973. It is named for Raymond C. Moore (1892-1974), state geologist, KGS director 1916-54 and a faculty member 1916-62; he was a Summerfield Distinguished Professor, chair of geology and a leading scholar/editor in invertebrate paleontology. It houses the KGS geohydrology and exploration services sections, along with Public Outreach and administration.","1930 Constant Ave, Lawrence, KS 66047"
Multidisciplinary Research Building,38.947757,-95.265608,Building,,"Construction began on the $40 million, three-story research center in fall 2004, and it was dedicated March 6, 2006. Housed in its 106,000 square feet are about 200 researchers, faculty, students and staff in engineering, chemistry, biology, geology and other natural sciences who do collaborative research in bioinformatics, drug discovery and nanoscience, among other fields.

The triangular building also houses laboratories; workrooms, offices and conference rooms; and research support spaces. The building was financed by bonds issued by the Kansas Development Finance Authority and funded by the KU Center for Research. Cannon Design of St. Louis was the architect, and KU Endowment gave the land.","2030 Becker Drive, Lawrence, KS 66047"
Murphy Hall,38.956542,-95.250974,Building,,"The School of Fine Arts was founded in 1891, combining the Department of Music, established in 1877, and the Department of Art, established in 1885. Between 1893 and 1917 the school was housed in the increasingly decrepit North College, the university's first building, until it was declared unfit for occupation.

Rooms in the basement and first floor of the new Administration Building (later Strong Hall) were used by music; visual art had studios and classrooms on the top floor. The theatre department performed in Old Fraser’s auditorium, and its organ was used for recitals. Hoch Auditorium also was used for concerts and theatre performances. By the early 1970s Bailey Annex, Memorial Stadium, Flint Hall, Chamney House and Barn, the Wesley Building and a duplex on 14th Street also were used by music and art students.

A long campaign for a dedicated building for the performing arts culminated in 1957, when the music and dance departments moved into the new Murphy Hall. It is named for Franklin Murphy, chancellor 1951-60 and a generous patron of the arts. The yellow-buff brick and crab-orchard limestone building was designed by Brinkman & Hagan of Emporia and dedicated Nov. 10, 1957.

It consolidated studio, rehearsal and performance space; costume and stage shops; a recording studio; music therapy labs; and faculty and staff offices for the music, dance and theater departments. The administrative offices for the School of Fine Arts were also in Murphy.

In 2009, an administrative reorganization created the School of Music, housed in Murphy Hall; and the School of the Arts, affiliated with the College of Liberal Arts & Sciences and comprising the departments of dance, film and media studies, theatre and visual art. The offices for these departments remain in Art & Design or Murphy. Several design programs are now affiliated with the School of Architecture, Design and Planning but remain housed in the art building.

A $9.8 million addition to Murphy Hall, designed by Horst, Terrill & Karst of Topeka, was completed in 2001. Its centerpiece is the Thomas A. Gorton Music and Dance Library, named for the dean of fine arts 1950-75. Also in Murphy are the Richard M. Wright Jazz Archives and James Seaver Opera Archive, together making up the KU Archive of Recorded Sound; and the Kansas Center for Music Technology.

Performing spaces
Crafton-Preyer Theatre: Capacity 1,160
Named for Jesse Allen Crafton (1890-1966), founder of the Department of Speech and Drama, and for Carl Adolph Preyer (1863-1947), pianist/composer and faculty member for 56 years. Plays, musicals, opera, concerts 

Swarthout Recital Hall: Capacity 350
Named for Donald Swarthout, dean of fine arts 1923-50. Faculty and student solo and chamber-music performances

Robert F. Baustian Theatre: Capacity 130
Named for the director of orchestra and opera, 1957-66; gift of David and Deborah Holloway; dedicated Dec. 2, 2004. Opera and Musical Theatre Complex has black-box theatre, classrooms, dressing rooms, shop areas.

William Inge Memorial Theatre: Capacity 90-100
Named for playwright William Inge (1913-73), 1935 theatre graduate; “Picnic” (Pulitzer Prize and Drama Critics Circle Award), “Splendor in the Grass” (Academy Award for screenwriting), “Come Back, Little Sheba,” “Bus Stop.” Plays and showcases","1530 Naismith Drive, Lawrence, KS 66045"
Nichols Hall,39.186516,-96.580834,Building,,"The $2.4 million hall, designed by Hollis & Miller of Overland Park, opened in fall 1971 and was dedicated Sept. 29, 1972. It was named for Raymond F. Nichols (1903-99), 12th chancellor (1972-73) and chancellor emeritus, journalism alumnus (1926 and 1928) and longtime KU administrator (1929-73).

Space technology was the early focus of the divisions at Nichols Hall. It now houses the Information and Telecommunication Technology Center (ITTC), the Center for Remote Sensing of Ice Sheets (CReSIS), and the KU Geology Isotope Geochemistry Laboratories (IGL).

ITTC faculty, staff and students conduct research and development in seven laboratories: Bioinformatics and Computational Life Sciences, Communications and Networking Systems, Computer Systems Design, e-Learning Design, Information Assurance, Intelligent Systems, and Radar Systems and Remote Sensing. ITTC is a Kansas Technology Enterprise Corporation Center of Excellence.

CReSIS is a collaborative research center comprising university, industry and international partners, that has its administrative, educational, and laboratory/machining operations here. It is a Science and Technology Center established by the National Science Foundation.","2335 Irving Hill Road, Lawrence, KS 66045"
Nunemaker Center,38.955946,-95.257578,Building,,"Built in 1971 with a gift of $415,000 from Irene Nunemaker, a 1922 graduate in journalism who became a cosmetics executive and consultant, it was designed by 1928 architecture alumnus Clarence Kivett of Kivett & Myers of Kansas City, Mo. It houses the University Honors Program; staff offices; class, conference and meeting rooms; reference/reading area; student kitchen; meeting room; and lounge.","1506 Engel Road, Lawrence, KS 66045"
Oldfather Studios,38.96697,-95.255162,Building,,"The 11,200-square-foot, brick building houses the offices of the Department of Film and Media Studies, a soundstage, sound- and film-editing suites, screening rooms and classrooms.

The building, opened in 1955, was commissioned by KU alumni Russell Mosser and Art Wolf, founders in 1947 of Centron Corp., a leading industrial and educational film studio in Lawrence. It was designed by KU architect Verner Smith. Mosser and Wolf sold the studio in 1981, and Centron had dissolved by 1990.

In February 1991, Charles Oldfather (1920-96), professor of law (1950-74) and a notable amateur musician and actor, and his wife, Hortense Oldfather, donated $500,000 to help KU Endowment purchase the building, which was renamed in Charles Oldfather’s honor.","1621 W. Ninth St, Lawrence, KS 66044"
Oliver Residence Hall,38.950654,-95.251912,Building,,"Opened in 1966 as a freshman women’s hall, it is named for the first chancellor, R.W. Oliver, in honor of the university’s centennial. It now houses 660 men and women, coed by wing, in two-person rooms. It has a dining center commons.

(Naismith Hall, across the street east of Oliver, is a private residence hall for men and women.)","1815 Naismith Drive, Lawrence, KS 66045"
Parker Hall,38.94898,-95.262021,Building,,"This building, also attached to Moore Hall, was dedicated March 26, 1968, as a U.S. Geological Survey facility. The USGS moved to other offices in 1989, and Parker now houses KGS offices including energy research and stratigraphic research. It is named for Glenn L. Parker, an alumnus and chief hydraulic engineer for the USGS 1939-46.","1930 Constant Ave, Lawrence, KS 66047"
Parrott Athletic Center,38.954697,-95.252799,Building,,"The Parrott facility, completed in 1970 and renovated in 1993, houses senior administrative staff, business offices, the Williams Educational Fund offices, and Media Relations offices.","1555 Irving Hill Road, Lawrence, KS 66045"
Pearson Scholarship Hall,38.957241,-95.242027,Building,,"Gertrude Sellards Pearson (1880-1968), a 1901 alumna, and her husband, Joseph R. Pearson (1880-1955), of Corsicana, Texas, donated $200,000 in June 1945 for five residence and scholarship halls. Raymond Coolidge, a 1924 graduate and former Kansas state architect, designed this brick building. It houses 48 men in two-person suites and opened in fall 1952; a renovation was completed in 1992. The hall is named for a niece of Pearson’s.","1426 Alumni Place, Lawrence, KS 66044"
Pharmaceutical Chemistry Laboratories,38.947008,-95.262643,Building,,This one-story building of laboratories and offices was built in 1968 and acquired by the university from KU Endowment in June 1991. It is part of the Higuchi Biosciences Center.,"2097 Constant Ave, Lawrence, KS 66047"
Price Computing Center,38.954876,-95.246745,Building,,"This concrete building, designed by Hollis & Miller of Overland Park and dedicated Oct. 14, 1978, cost $4 million. It consolidated academic and data-management computer services from other buildings, notably Summerfield Hall. It houses Information Technology staff and services including enterprise applications; KU data center infrastructure and IT security.","1001 Sunnyside Ave, Lawrence, KS 66045"
Public Safety Building,38.956338,-95.267938,Building,,"The KU Public Safety Office moved from Carruth-O’Leary Hall to the former Printing Services Building on west campus in spring 2006, after renovations. The 32,000-square-foot building, designed by Glober & Newcomb of Topeka and opened in April 1968, also houses the entomology collection and staff, which moved in spring 2006 from Snow Hall; the Invertebrate Paleontology Museum collection; and part of the anthropology collection. Its warehouse is used to store catalogs and other publications and University Press books.","1501 Crestline Drive, Lawrence, KS 66045"
Robert J. Dole Institute of Politics,38.955594,-95.265292,Building,,"This west campus building, dedicated in July 2003, is named for retired Kansas Sen. Robert J. Dole. The $11 million, 28,000-square-foot facility, designed by ASIA of Lenexa, houses papers from Dole’s 35-year career and is the world’s largest congressional archive.

The institute sponsors public and educational programs in bipartisan civic education and leadership training; it has seminar and meeting rooms, broadcast facilities and exhibits on Dole’s life and career as well as on specific historical or political topics. Features of the limestone structure include a reflecting pool, two large stained-glass windows and a Memory Wall of photos of Kansas war veterans, the central Hansen Hall and the Simons Family Media Center.","2350 Petefish Drive, Lawrence, KS 66045"
Robinson Health and Physical Education Center,38.954666,-95.250006,Building,,"The first Robinson Gymnasium was completed in 1907 and dedicated during Commencement 1908; it was built on land originally owned by Charles Robinson, a founder of Lawrence and first governor of Kansas, and was named for him and his wife, Sara T.D. Robinson.

Students had organized gymnasiums in the basement and north tower of Fraser Hall and in the basement of Snow Hall in the 1880s and 1890s, but only in 1905 was funding approved for a dedicated gym. James A. Naismith, a KU professor of physical culture since 1898 and the inventor of basketball, was instrumental in the building’s design. University functions such as commencement and lectures took place in its auditorium. By the 1960s it was outmoded and overcrowded, and the decision to build a humanities building on the site of Robinson and the adjacent Haworth Hall was made. Both were razed in November 1967. 

State Architect James Canole and Dwight C. Brown & Associates of Topeka designed the new Robinson center, a concrete and yellow-brick building completed in April 1966 east of Allen Fieldhouse; a $6 million addition designed by Lund & Balderson of Overland Park opened in August 1980. Robinson now houses the School of Education’s health, sport and exercise sciences department; faculty and staff offices; biokinetic, kinesiology and physiology labs; classrooms and multipurpose rooms; the dance department offices and studios; and lifetime sports facilities. It also has locker rooms, showers, weight rooms, a natatorium and other facilities for faculty and staff. When the Student Recreation Fitness Center opened in September 2003, intramurals and personal fitness facilities for students moved to the new building.","1301 Sunnyside Ave, Lawrence, KS 66045"
Sabatini Multicultural Resource Center,38.959895,-95.243239,Building,,"This 7,000-square-foot, $2.7 million building on the north side of the Kansas Union was dedicated April 25, 2008, and named in honor of Lisetta and Carmine Sabatini, parents of donors Frank Sabatini, who holds KU degrees in business and law, and Nella Sabatini Dinolfo. It was funded by a $1 million gift from the Sabatini Family Foundation of Topeka, student fees and other university sources. Designed by Gould Evans Associates, it houses staff and program offices, an auditorium and academic support and study rooms for students.","1299 Oread Ave, Lawrence, KS 66045"
School of Pharmacy Building,38.94851,-95.264207,Building,,"Capping the observance of the School of Pharmacy’s 125th year was the dedication Oct. 22, 2010, of its new building on west campus. The 110,00-square-foot, dark brick structure houses the PharmD program, the departments of pharmacy practice and pharmaceutical chemistry, three auditoria, pharmacy skills and biochemistry laboratories, a library and resource center, classrooms, administrative and faculty offices, and a museum. An old-fashioned soda fountain is a feature of its Mortar and Pestle Café.

Treanor Architects of Lawrence incorporated energy-efficient elements into the design of the 110,000-square-foot building, whose landscape is maintained by the Native Medicinal Plant Research Program. It also has the only FEMA-standard storm shelter on campus.

Funding of $50 million in bonds from the state of Kansas included $4.5 million for a one-floor addition to the School of Pharmacy at the School of Medicine-Wichita. KU Endowment raised $5 million more.","2010 Becker Drive, Lawrence, KS 66047"
Sellards Scholarship Hall,38.956735,-95.241674,Building,,"One of the three scholarship halls funded by the 1945 gift of Joseph R. Pearson of Corsicana, Texas, and his wife, Gertrude Sellards Pearson, a 1901 alumna, it is named in honor of her family. The Georgian-style brick hall on the southeast edge of the Brynwood Manor estate opened in fall 1952. It houses 47 women in four-person suites.","1443 Alumni Place, Lawrence, KS 66044"
Shankel Structural Biology Center,38.947046,-95.26421,Building,,"The center, originally dedicated Oct. 15, 2004, was renamed in honor of longtime professor and administrator Delbert M. Shankel on April 15, 2010.

Its original centerpiece was an 800-megahertz magnetic resonance spectrometer for use in medicinal and pharmaceutical chemistry research. A $22.2-million, 44,000-square-foot addition to the west side was dedicated Oct. 23, 2008. Two new wings house the Specialized Chemistry Center and the labs and students of Blake Peterson, a Kansas Bioscience Authority Eminent Scholar.

The center also houses the Center of Excellence in Chemical Methodologies and Library Development; the High-Throughput Screening Laboratory; the Center for Cancer Experimental Therapeutics; and the Center of Biomedical Research Excellence.

Shankel came to KU as an assistant professor of microbiology in 1959. He has been chair of the Department of Microbiology, dean of the College of Liberal Arts and Sciences, executive vice chancellor, acting chancellor (1980-81) and chancellor (1994-95). Among other appointments, he was interim director of intercollegiate athletics. He was named a Mortar Board Outstanding Educator three times and received the alumni association’s Ellsworth Medallion for Outstanding Service and its Distinguished Service Citation.","2034 Becker Drive, Lawrence, KS 66047"
Shop Facility,38.952448,-95.272637,Building,,"This new concrete and brick building, completed in summer 2007, was designed by Kenneth O. von Achen Chartered Architects. It houses shops for electricians, plumbers and painters; a recycling transfer facility; warehouse storage; a boat-storage area for the Kansas Biological Survey; and a geophysics shop. The $3.7 million project included an addition to the Facilities Operations Warehouse to the south.","1735 Westbrooke Drive, Lawrence, KS 66047"
Simons Biosciences Research Laboratories,38.947452,-95.261983,Building,,"The research lab, dedicated May 6, 1996, is named for Dolph Simons Sr., longtime publisher of the Lawrence Journal-World newspaper and a key figure in bringing distinguished chemist Takeru Higuchi to the university. The $8.9 million building, designed by Glenn Livingood Penzler Miller Architects of Lawrence, houses laboratories and other research space, an auditorium, conference rooms and offices for researchers focused on cancer-fighting drugs.","2093 Constant Ave, Lawrence, KS 66047"
Smissman Research Laboratories,38.946611,-95.262867,Building,,"The $1.1 million research center was designed by Hazard, Van Doren & Stallings of Topeka and dedicated May 5, 1978. It is named for Edward E. Smissman (1925-74), professor and chair of medicinal chemistry and University Distinguished Professor, and is part of the Higuchi Biosciences Center in west campus.","2099 Constant Ave, Lawrence, KS 66047"
Smith Hall,38.959606,-95.24255,Building,,"Dedicated Oct. 8, 1967, Smith Hall houses the religious studies department, faculty and administrative offices, classrooms and the William J. Moore Library. It occupies the site of Myers Hall, which had housed the Department of Religion since 1907.

Myers had been built on the site of the Rush farmhouse, purchased in 1901 by the Christian Women’s Board of Missions, Christian Church, to house the Kansas Bible Chair, offering courses in religious history and the Bible; the hall was also used as a social center and public lecture space. In the 1960s funds were raised privately and from affiliated denominations for construction of a new building, and Myers was demolished in 1966.

This building was designed by architect Charles L. Marshall of Topeka and named for Irma I. Smith of Macksville, Kan., a major donor. To incorporate images from the university seal, Marshall designed the large stained-glass window “Burning Bush” and a courtyard for a large bronze statue of Moses. 

Smith Hall and the land it occupies were owned by the Christian Churches of Kansas and the Kansas Bible Chair until 1998, when the university bought them for $1.1 million.","1300 Oread Ave, Lawrence, KS 66045"
Snow Hall,38.958673,-95.24903,Building,,"When it opened in 1930, “new” Snow Hall replaced the limestone building of 1886 designed by John G. Haskell and named for Francis H. Snow, the natural history professor who became the fifth chancellor (1890-1901). The original building had seriously deteriorated by 1915 and was a lethal risk by the mid-1920s when funds were finally approved for a new science building. “Old Snow,” whose site was the northwest corner of the Watson Library lawn, was demolished in 1934. Salvaged stone was used to face the Military Science Building.

State Architect Charles Cuthbert and H.H. Lane of the zoology department collaborated to design the new Indiana limestone building in a modified Collegiate Gothic style. It housed the departments of botany, zoology, entomology and bacteriology; Snow’s renowned entomological collection; the botanical collection; classrooms; and labs. 

Wings were added on the north in 1950 and 1958; a major renovation in 1989-90 converted the 1958 addition to classrooms and offices and added new space for the Snow Entomological Museum. The entomology collections have been moved to the Public Safety Building and to Dyche Hall. Many of the science divisions moved to Haworth Hall, and Snow now houses the departments of mathematics and of economics; the environmental studies program; and architecture studios, faculty offices, craft shop and jury rooms.","1460 Jayhawk Blvd, Lawrence, KS 66045"
Spahr Engineering Library,38.95792,-95.253447,Building,,"The yellow-brick library, designed by Gould Evans Associates of Lawrence, was begun in 1984 and dedicated May 5, 1988. It is named for Charles E. Spahr, a 1934 engineering alumnus, emeritus chair and CEO of Standard Oil Co. of Ohio and KU benefactor who with his wife made a major endowment to the library. The two-story, 13,000-square-foot library holds about 70,000 books and serials and more than 350,000 microfiche items. It is connected by an enclosed walkway to the first floor of Learned Hall, the main engineering building, and shares a courtyard with Learned and Eaton halls. An addition was completed in fall 1990.","1532 W. 15th St, Lawrence, KS 66045"
Spencer Museum of Art,38.9597,-95.244582,Building,,"The museum, dedicated in September 1977, was built with funds from the Kenneth A. and Helen F. Spencer Foundation. It is named for Helen Foresman Spencer, a student in the 1920s who married Kenneth A. Spencer, a 1926 graduate who founded a chemical company and the Midwest Research Institute in Kansas City, Mo. Like the Spencer Research Library, which she also funded, the museum was designed by architect Robert Jenks of Kansas City, a KU classmate of the Spencers, and built of white Indiana limestone.

Its galleries mount exhibits from the permanent collections and touring or special exhibits. Special strengths include medieval art; European and American paintings, sculpture and prints; photography; Japanese painting and prints; and quilts and textiles. It also houses the Art and Architecture Library; the Kress Foundation Department of Art History; an auditorium that seats 265; and faculty and administrative offices.

In spring 2015, the first phase of a renovation and expansion of the museum is to begin. The $5-million project, designed by Yvonne Szeto and Bruce White of the renowned international architectural firm Pei Cobb Freed & Partners, will encompass more than 15,000 square feet of the museum’s interior. The proposed design will expand the lobby and visitor spaces and reintroduce the museum bookshop; add a central staircase and elevator; install floor-to-ceiling windows on two stories looking west to Marvin Grove to add natural light to the Central Court and adjacent galleries; expand and renovate storage and study spaces for the collection of works on paper; and add a teaching/learning gallery.","1301 Mississippi St, Lawrence, KS 66045"
Spencer Research Library,38.959018,-95.247548,Building,,"This neoclassical building, which opened in 1968, honors Kenneth A. Spencer (1902-60), a 1926 graduate who founded the Spencer Chemical Co. and the Midwest Research Institute of Kansas City, Mo. The library was built with a grant from his widow, Helen Foresman Spencer, who attended KU, and the family foundation. It was designed by architect Robert Jenks of Kansas City, a 1926 graduate, and built of white Indiana limestone. Its terrace adjoins Strong Hall to the south.

It houses the University Archives (chancellors’ papers, buildings, athletics, student life; publications, timetables, yearbooks; photographs and videotapes); the Kansas Collection (state and county depository, maps, genealogies, photographs, political literature, books and periodicals); and Special Collections (ancient, medieval, Renaissance, 18th-century, Irish, science and education resources).","1450 Poplar Lane, Lawrence, KS 66045"
Spooner Hall,38.958436,-95.242748,Building,,"The university’s first library, this Oread limestone and red sandstone building was designed in the Romanesque Revival style by Kansas City architect Henry van Brunt, who also designed the first chancellor’s residence immediately east of it. Both were funded by an 1891 bequest of Boston leather merchant and philanthropist William B. Spooner, uncle of Francis H. Snow, an original faculty member and the fifth chancellor. Dedicated in October 1894, it was the library until 1924, when the much larger Watson Library opened.

In 1926 it became the Spooner-Thayer Museum of Art, housing collections that were a 1917 gift of Sallie Casey Thayer in memory of her late husband, Kansas City department-store magnate William B. Thayer of Emery, Bird, Thayer. These collections included ceramics, glassware, textiles and Asian paintings. In 1978, the artwork was moved to the new Spencer Museum of Art.

The Museum of Anthropology opened in Spooner in 1979; it was renamed the Anthropological Research and Cultural Collections in July 2005 and became part of the Biodiversity Institute in fall 2006.

In fall 2007, Spooner Commons was completed as a joint project of the Hall Center for the Humanities, the Biodiversity Institute and the Spencer Museum of Art. The space on the main level is used for meetings, workshops, symposia and lectures, and exhibits on the arts, sciences and humanities. The $500,000 project included new wiring, lighting and furnishings.

Renovations to the exterior of Spooner Hall, listed on the National Register of Historic Places in 1974, began in spring 2010 and were completed a year later. The work, by Nouveau Construction and Technology Services and the Western Construction Group, includes consolidating and patching deteriorated stone and replacing capstones that are beyond repair. The exterior was cleaned and waterproofed, and steel panels on upper walls wee repaired and coated to prevent further deterioration.

A courtyard on the south side of Spooner is named for Lawrence department-store owner Arthur D. Weaver.","1340 Jayhawk Blvd, Lawrence, KS 66045"
Sprague Apartments,38.957943,-95.242616,Building,,"The apartment building was funded by a bequest from Elizabeth Sprague (1874-1960), head of the home economics department 1914-41, in memory of her sister Amelia, an artist and designer. Retired faculty members live in the redbrick building, completed in 1960.

It occupies a historic campus site. Charles Robinson, a founder of Lawrence and first governor of Kansas, sold the property to grocer H.W. Baker, who built a 24-room house that in 1890 he sold to fellow Quantrill raid survivor Brinton Webb Woodward, owner of Round Corner Drugs. Woodward enlarged the house, adding a notable art gallery, and named the house and grounds Brynwood Manor. 

At the end of World War I, the Acacia Fraternity bought the house and property but by 1939 could no longer maintain them. They were acquired by Olin Templin of the Endowment Association, who had long hoped to develop scholarship halls for men like Watkins and Miller women’s halls. The house was refurbished and opened as Templin Hall, a scholarship residence for 38 men, in fall 1940; it and Battenfeld Hall were the first of several scholarship halls at Alumni Place, as the Woodward property was renamed. Templin housed men, women and, during World War II, Navy officer trainees; it was demolished in 1959. 

10 units","1400 Lilac Lane, Lawrence, KS 66044"
St. Andrews Office Facility,38.955272,-95.281925,Building,,"PKG Design Group of Lawrence built this 34,000-square-foot building in 1980 as the corporate headquarters for Maupintour Inc., an international travel agency. The university purchased it for $3.2 million in 1998 to consolidate its continuing education programs and offices. In 2014, after Continuing Education moved most of its programs to the Edwards Campus, it was renamed; it now houses Design & Construction Management, the Office of Institutional Research & Planning, the Osher Lifelong Learning Institute, and the Kansas Fire & Rescue Training Institute.","1515 St. Andrews Drive, Lawrence , KS"
St. Andrews Research Facility,38.954031,-95.281551,Building,,"KU Center for Research Inc. purchased this 11,700-square-foot building, west of Bob Billings Parkway and Kasold Drive, in 2013 to house the School of Education’s Center for Public Partnerships & Research. That center is part of the Achievement & Assessment Institute, founded in 2012 to build partnerships and programs that support the success of young children, school-aged children, adults, and publicly funded agencies. Its four research centers also support research and job-training opportunities for KU students. Offices, conference rooms and common areas accommodate about 40 CPPR staff members.","1617 St. Andrews Drive, Lawrence , KS 66047"
Stauffer-Flint Hall,38.956763,-95.246466,Building,,"The building houses the William Allen White School of Journalism & Mass Communications; administrative and faculty offices; classrooms; Kansas Scholastic Press Association; Accrediting Council on Education in Journalism; Kansas Journalism Institute, and the William Allen White Foundation.

The student newspapers, the University Daily Kansan, is part of the Stan and Madeline Stauffer Multimedia Newsroom, which provides editing, broadcast and newsroom facilities in the Dole Human Development Center, adjacent to Stauffer-Flint.

The hall was built in 1897-98 with a $21,000 gift from George A. Fowler, a Kansas City meatpacker and rancher, in honor of his father. Kansas City architects Walter C. Root and George W. Siemens designed the Oread limestone building, distinguished by a tower at the east end, as a practical shop and studio for engineering students. In 1949 a new shop was built south of Marvin and Lindley halls on Naismith Drive. The original building was remodeled, and the School of Journalism and the University Press moved in 1952 from the decrepit Chemistry/Medical Hall (“the Shack”) near Watson Library, which they had occupied since 1923. The building was renamed in honor of longtime journalism professor Leon N. Flint, department chair 1916-41.

The journalism department was established in the College in 1909; Flint had helped initiate the program in 1903. In 1945 the department was named the William Allen White School of Journalism and Public Information in honor of the late Emporia publisher/editor/alumnus. In 1981 Topeka media magnate Oscar Stauffer donated $1 million for a complete renovation designed by Gould Evans Associates of Lawrence; the building was renamed to honor him as well as Flint in 1982.","1435 Jayhawk Blvd, Lawrence, KS 66045"
Stephenson Scholarship Hall,38.957716,-95.241944,Building,,"Opened in fall 1951, the hall houses 47 men in two-person suites. Designed by Raymond Coolidge, it was partly funded by Mrs. Lyle Stephenson in memory of her husband, a Kansas City insurance salesman and amateur entomologist. It was built on the eastern edge of the Brynwood estate property obtained from Acacia fraternity by Olin Templin in 1939.","1404 Alumni Place, Lawrence, KS 66044"
Stouffer Place Apartment,38.951793,-95.257074,Building,,"This complex of 283 apartments in 25 buildings was opened in 1957 and named for Ellis B. Stouffer (1884-1965), dean of the Graduate School 1922-45 and dean of the university 1945-51. It houses students who are married or who have children living with them. Units having one, two or three bedrooms are available. Continuing renovations will enlarge the complex into buildings having two three-bedroom units and six two-bedroom units (from the existing 12 apartments per building). Playgrounds, a children’s library and a laundry are available.

It is scheduled to close in summer 2015.","19th and Iowa streets, Lawrence, KS 66047"
Strong Hall,38.958539,-95.247628,Building,,"Surging enrollments after 1900 made a new administration and classroom building necessary, and Chancellor Frank H. Strong (1902-1920) began petitioning the legislature for funding. St. Louis architect Montrose Pallen McArdle was hired to design the building that Strong and the regents hoped would be “the center of the University architecture as well as the University life.” State Architect John Stanton, art professor William A. Griffith and College Dean Olin Templin advised. McArdle’s grandiose, $500,000 Classical Renaissance design had pillars, a rotunda, an art gallery and a classical museum. The Legislature balked, and the plans were scaled back, although echoes of the original exist; it now has a Classical Revival style.

Construction began on the east wing of the Administration Building in 1909; it was occupied by seven departments in 1911. Because of budget constraints, “West Ad” and “Center Ad” were completed in stages, ending in January 1924. The 130-room building, faced in buff terra cotta, housed the Graduate School and the schools of fine arts and business; the departments of drawing/painting/design, psychology, mathematics, economics and philosophy; the chancellor’s and registrar’s offices; a chapel; and an auditorium. It was renamed for sixth chancellor Strong in 1934, after his death; in 1998 it was listed on the National Register of Historic Places.

Major renovations and upgrading were done in 1998. Strong now houses the offices and support staff for the chancellor, provost and registrar; the dean of the College of Liberal Arts & Sciences; senior vice provost for academic affairs; vice provosts for administration and finance, faculty development, graduate studies and student affairs; International Programs; the Academic Achievement and Access Center; University Governance; and several student programs and services in advising, tutoring, financial aid, and disability needs. The third-floor auditorium is named for chemistry professor and longtime department chair Raymond Q. Brewster.","1450 Jayhawk Blvd, Lawrence, KS 66045"
Sudler Annex,38.964236,-95.250334,Building,,"This building was originally the garage of the home bequeathed to KU by the estate of Dr. Mervin T. Sudler (1874-1956), Lawrence physician, professor of anatomy, and dean of the Medical School 1921-24. The adjacent home, built in 1927, is now the Max Kade Center for German-American Studies.

This native stone structure was built about 1861 as a stable on property owned by James H. Lane (1814-66), prominent abolitionist and one of Kansas' first senators after statehood in January 1861. He was general of the Kansas Brigade in the Civil War and a chief target of William C. Quantrill's raid on Lawrence in August 1863. He escaped the raiders by hiding in a cornfield near his home at Eighth and Mississippi streets.

From 1975 to May 2010 the building was known as \the Shack\ and housed the student radio station KJHK-FM; the station moved to new studios on the third floor of the Kansas Union. Plans call for remodeling the building for offices and meeting space.","1132 W. 11th St, Lawrence, KS 66044"
